title,filepath,bbox
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[263.63, 16.87, 10.32, 16.95]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[250.37, 8.47, 12.82, 20.9]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[482.28, 37.65, 1.95, 4.4]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[305.85, 46.92, 1.83, 2.13]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[40.91, 0.0, 18.8, 11.66]"
A photo of saucepan,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[300.15, 46.91, 10.47, 21.22]"
A photo of saucepan,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[336.79, 45.83, 20.27, 33.41]"
A photo of saucepan,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[358.0, 45.03, 23.66, 41.34]"
A photo of saucepan,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[238.8, 25.02, 50.03, 65.08]"
A photo of saucepan,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[320.95, 46.43, 16.13, 31.48]"
A photo of saucepan,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[134.81, 6.15, 48.35, 73.02]"
A photo of saucepan,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[194.06, 85.32, 22.21, 44.58]"
A photo of saucepan,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[273.22, 74.21, 28.28, 28.18]"
A photo of saucepan,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[309.24, 46.63, 13.55, 24.82]"
A photo of saucepan,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[90.56, 3.43, 47.09, 94.88]"
A photo of shirt,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[388.81, 108.46, 109.43, 82.45]"
A photo of suspenders,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[429.77, 114.43, 41.85, 63.56]"
A photo of bowl,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[156.13, 169.05, 26.56, 17.73]"
A photo of bowl,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[29.72, 344.04, 69.41, 40.59]"
A photo of bowl,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[0.0, 326.34, 85.68, 44.17]"
A photo of bowl,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[56.86, 288.37, 78.38, 39.55]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[60.74, 15.09, 73.15, 68.64]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[239.79, 25.0, 49.04, 65.35]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[336.76, 45.53, 19.69, 33.67]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[256.41, 90.52, 37.11, 67.13]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[465.29, 44.18, 47.0, 94.65]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[63.1, 0.0, 58.74, 129.11]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[50.74, 200.99, 81.12, 20.96]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[216.11, 89.41, 31.4, 30.01]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[194.16, 84.37, 21.6, 44.76]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[273.21, 74.06, 28.48, 28.34]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[471.92, 203.63, 15.41, 14.4]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[316.23, 77.84, 49.58, 73.85]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[358.27, 45.25, 37.2, 98.32]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[90.83, 0.0, 46.8, 99.31]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[299.41, 143.52, 39.52, 38.63]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[222.21, 19.74, 29.32, 71.43]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[561.65, 38.63, 51.81, 73.46]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[321.15, 46.49, 16.25, 31.95]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[309.57, 46.76, 13.44, 24.85]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[384.31, 52.68, 32.92, 32.89]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[314.34, 160.64, 56.1, 49.77]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[182.97, 128.89, 74.64, 68.5]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[415.92, 45.83, 18.63, 72.33]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[451.41, 37.04, 13.88, 36.9]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[236.8, 100.58, 28.18, 22.89]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[358.09, 44.71, 23.53, 41.54]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[434.83, 36.92, 15.1, 40.94]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[300.31, 46.57, 9.78, 20.68]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[108.13, 187.33, 76.4, 17.14]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[127.42, 188.01, 40.95, 9.09]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[198.03, 378.37, 59.81, 48.63]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[181.37, 145.64, 11.77, 34.92]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[293.57, 80.93, 37.16, 51.28]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[134.04, 6.38, 49.53, 73.43]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[346.78, 81.7, 22.4, 26.78]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[248.64, 340.14, 51.14, 81.35]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[280.34, 259.19, 41.26, 5.95]"
A photo of pan_(for_cooking),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[255.0, 274.98, 38.04, 7.48]"
A photo of pie,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[57.8, 287.79, 77.64, 40.62]"
A photo of pie,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[0.0, 303.84, 85.33, 66.47]"
A photo of pie,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[275.16, 247.67, 51.8, 13.84]"
A photo of rolling_pin,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[394.34, 79.26, 8.55, 60.94]"
A photo of rolling_pin,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[136.45, 298.41, 89.88, 51.01]"
A photo of apron,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[394.57, 173.55, 80.37, 121.17]"
A photo of stove,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[34.19, 170.28, 96.77, 62.61]"
A photo of stove,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[87.14, 204.94, 108.04, 84.07]"
A photo of orange_(fruit),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[229.69, 178.56, 13.23, 10.94]"
A photo of orange_(fruit),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[217.74, 200.41, 13.6, 14.25]"
A photo of orange_(fruit),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[215.66, 185.9, 16.62, 14.7]"
A photo of orange_(fruit),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[205.01, 191.54, 15.31, 14.61]"
A photo of orange_(fruit),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[205.76, 187.33, 10.62, 7.7]"
A photo of orange_(fruit),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[231.43, 200.25, 16.94, 17.91]"
A photo of banana,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[220.7, 180.12, 21.78, 16.14]"
A photo of cabinet,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[183.45, 76.69, 13.08, 33.36]"
A photo of cabinet,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[126.03, 58.65, 61.39, 37.47]"
A photo of cabinet,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[255.62, 146.65, 17.54, 28.17]"
A photo of cabinet,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[208.44, 82.57, 10.04, 30.1]"
A photo of cabinet,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[218.49, 85.09, 8.95, 27.8]"
A photo of cabinet,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[227.92, 85.68, 10.74, 26.63]"
A photo of cabinet,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[230.2, 144.98, 26.02, 26.51]"
A photo of cabinet,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[208.83, 146.02, 12.09, 29.45]"
A photo of refrigerator,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[300.17, 75.04, 51.83, 153.52]"
A photo of stove,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[137.29, 124.57, 59.52, 70.21]"
A photo of drawer,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[255.64, 137.89, 37.64, 12.18]"
A photo of drawer,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[209.26, 137.77, 12.53, 8.65]"
A photo of drawer,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[221.51, 136.34, 8.53, 7.87]"
A photo of drawer,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[230.96, 134.99, 24.95, 11.4]"
A photo of drawer,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000037777.jpg,"[197.21, 138.64, 12.29, 9.67]"
A photo of short_pants,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000252219.jpg,"[48.81, 262.1, 45.68, 38.45]"
A photo of shoe,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000252219.jpg,"[338.12, 353.63, 25.79, 16.77]"
A photo of shoe,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000252219.jpg,"[366.59, 356.26, 20.83, 15.19]"
A photo of shoe,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000252219.jpg,"[94.31, 386.12, 31.78, 7.65]"
A photo of shoe,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000252219.jpg,"[508.49, 358.52, 29.84, 25.08]"
A photo of shoe,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000252219.jpg,"[593.98, 360.76, 39.01, 24.31]"
A photo of flip-flop_(sandal),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000252219.jpg,"[94.89, 385.93, 31.58, 7.84]"
A photo of flip-flop_(sandal),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000252219.jpg,"[5.18, 370.8, 22.35, 19.16]"
A photo of umbrella,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000252219.jpg,"[560.85, 88.91, 78.69, 62.84]"
A photo of umbrella,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000252219.jpg,"[603.9, 126.09, 32.46, 32.06]"
A photo of backpack,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000252219.jpg,"[195.99, 237.0, 52.22, 51.67]"
A photo of street_sign,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000252219.jpg,"[339.45, 43.67, 59.14, 59.65]"
A photo of street_sign,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000252219.jpg,"[401.69, 51.65, 35.39, 55.38]"
A photo of jacket,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000252219.jpg,"[247.87, 226.96, 66.1, 71.44]"
A photo of earring,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000252219.jpg,"[550.69, 191.81, 1.07, 1.46]"
A photo of earring,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000252219.jpg,"[85.57, 187.84, 1.72, 1.33]"
A photo of sweatshirt,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000087038.jpg,"[325.53, 222.5, 5.21, 9.62]"
A photo of sweatshirt,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000087038.jpg,"[258.55, 233.39, 43.32, 38.96]"
A photo of sweatshirt,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000087038.jpg,"[195.53, 232.54, 9.34, 12.66]"
A photo of sweatshirt,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000087038.jpg,"[67.97, 243.41, 10.62, 18.03]"
A photo of sweatshirt,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000087038.jpg,"[102.32, 240.81, 10.26, 19.49]"
A photo of sweatshirt,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000087038.jpg,"[209.77, 235.22, 9.02, 13.13]"
A photo of sweatshirt,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000087038.jpg,"[370.16, 183.73, 43.19, 82.21]"
A photo of sweatshirt,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000087038.jpg,"[186.55, 233.64, 9.65, 16.82]"
A photo of sweatshirt,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000087038.jpg,"[84.26, 238.45, 9.13, 14.95]"
A photo of sweatshirt,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000087038.jpg,"[88.27, 233.28, 13.74, 26.87]"
A photo of bicycle,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000087038.jpg,"[255.01, 271.41, 57.32, 61.63]"
A photo of traffic_light,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000174482.jpg,"[109.46, 25.09, 8.85, 12.23]"
A photo of traffic_light,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000174482.jpg,"[96.74, 68.16, 2.81, 3.41]"
A photo of bicycle,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000174482.jpg,"[195.88, 10.17, 297.52, 377.83]"
A photo of mirror,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000403385.jpg,"[0.0, 62.71, 71.39, 115.14]"
A photo of doorknob,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000403385.jpg,"[600.74, 341.48, 34.0, 30.03]"
A photo of sink,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000403385.jpg,"[6.46, 280.85, 138.84, 230.15]"
A photo of shower_head,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000403385.jpg,"[248.57, 1.19, 16.52, 22.21]"
A photo of toilet_tissue,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000403385.jpg,"[435.56, 211.73, 24.78, 26.16]"
A photo of toilet_tissue,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000403385.jpg,"[411.42, 211.48, 25.25, 27.21]"
A photo of air_conditioner,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000403385.jpg,"[559.09, 0.74, 79.87, 56.57]"
A photo of toilet,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000403385.jpg,"[410.69, 235.42, 91.31, 246.07]"
A photo of fan,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000403385.jpg,"[463.76, 98.42, 82.83, 83.49]"
A photo of shower_head,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000006818.jpg,"[9.42, 68.74, 62.12, 75.57]"
A photo of hose,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000006818.jpg,"[1.29, 153.6, 9.06, 158.0]"
A photo of hose,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000006818.jpg,"[30.44, 481.48, 101.45, 158.52]"
A photo of soap,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000006818.jpg,"[5.87, 326.96, 25.59, 14.07]"
A photo of pipe,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000006818.jpg,"[156.49, 323.72, 21.95, 158.95]"
A photo of pipe,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000006818.jpg,"[68.49, 0.0, 90.82, 568.57]"
A photo of pipe,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000006818.jpg,"[54.6, 574.98, 51.32, 57.62]"
A photo of pipe,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000006818.jpg,"[170.56, 396.94, 32.2, 64.03]"
A photo of pipe,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000006818.jpg,"[141.25, 0.0, 79.02, 28.84]"
A photo of pipe,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000006818.jpg,"[0.0, 0.1, 36.8, 248.35]"
A photo of scrubbing_brush,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000006818.jpg,"[158.49, 529.62, 22.25, 30.38]"
A photo of toilet,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000006818.jpg,"[187.39, 473.82, 101.65, 48.85]"
A photo of bucket,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000006818.jpg,"[344.98, 418.47, 79.59, 94.08]"
A photo of bucket,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000006818.jpg,"[355.38, 481.27, 71.62, 103.36]"
A photo of speaker_(stero_equipment),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000480985.jpg,"[319.9, 49.43, 31.76, 33.37]"
A photo of speaker_(stero_equipment),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000480985.jpg,"[345.77, 67.92, 27.63, 27.15]"
A photo of speaker_(stero_equipment),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000480985.jpg,"[233.65, 9.14, 15.74, 15.97]"
A photo of speaker_(stero_equipment),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000480985.jpg,"[246.53, 10.61, 11.55, 18.27]"
A photo of motorcycle,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000480985.jpg,"[16.63, 74.78, 318.21, 425.22]"
A photo of motorcycle,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000480985.jpg,"[308.37, 290.78, 65.48, 43.05]"
A photo of motorcycle,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000480985.jpg,"[1.73, 330.76, 46.43, 35.5]"
A photo of motorcycle,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000480985.jpg,"[285.31, 309.15, 41.15, 55.9]"
A photo of headlight,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000480985.jpg,"[166.38, 160.47, 30.29, 30.48]"
A photo of headlight,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000480985.jpg,"[201.28, 146.47, 68.5, 50.3]"
A photo of headlight,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000480985.jpg,"[293.24, 84.29, 39.82, 25.19]"
A photo of headlight,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000480985.jpg,"[18.37, 80.49, 105.05, 44.34]"
A photo of wall_socket,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000331352.jpg,"[328.84, 164.15, 10.38, 45.55]"
A photo of handle,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000331352.jpg,"[64.33, 164.86, 36.56, 21.64]"
A photo of handle,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000331352.jpg,"[40.62, 54.85, 17.98, 43.44]"
A photo of faucet,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000331352.jpg,"[167.03, 38.0, 17.05, 61.07]"
A photo of helmet,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[330.74, 287.07, 27.25, 31.8]"
A photo of helmet,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[16.92, 268.65, 38.33, 35.37]"
A photo of helmet,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[514.19, 278.22, 39.6, 44.83]"
A photo of motorcycle,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[0.6, 320.78, 173.95, 105.88]"
A photo of motorcycle,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[260.49, 329.24, 171.66, 97.76]"
A photo of tarp,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[161.98, 306.29, 29.98, 16.98]"
A photo of signboard,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[223.05, 200.05, 161.26, 24.24]"
A photo of signboard,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[493.79, 187.94, 129.51, 53.17]"
A photo of signboard,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[185.14, 277.82, 25.33, 32.53]"
A photo of signboard,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[24.2, 206.19, 36.43, 26.22]"
A photo of signboard,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[378.13, 269.38, 24.51, 53.17]"
A photo of signboard,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[124.86, 204.36, 34.41, 26.87]"
A photo of signboard,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[172.77, 229.75, 49.6, 25.7]"
A photo of signboard,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[383.3, 224.3, 60.8, 33.05]"
A photo of signboard,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[380.03, 256.23, 11.37, 14.55]"
A photo of signboard,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[513.07, 254.85, 37.07, 21.2]"
A photo of signboard,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[178.53, 254.25, 31.77, 15.97]"
A photo of signboard,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[569.57, 261.78, 39.13, 14.69]"
A photo of signboard,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[449.29, 288.9, 11.77, 16.53]"
A photo of signboard,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[421.38, 231.69, 45.15, 30.68]"
A photo of signboard,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[628.88, 212.16, 11.12, 38.49]"
A photo of car_(automobile),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[428.61, 327.61, 211.39, 99.39]"
A photo of car_(automobile),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[230.25, 272.08, 33.45, 20.85]"
A photo of car_(automobile),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[229.09, 282.68, 34.5, 33.07]"
A photo of car_(automobile),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[591.5, 293.22, 48.5, 60.93]"
A photo of car_(automobile),../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000296649.jpg,"[347.12, 287.71, 21.68, 26.19]"
